id	lang_region	option_letter	input_text
ms-SG_001	ms-SG	A	Apakah akronim lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal?DBS
ms-SG_001	ms-SG	B	Apakah akronim lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal?HPB
ms-SG_001	ms-SG	C	Apakah akronim lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal?HDB
ms-SG_001	ms-SG	D	Apakah akronim lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal?SAF
ms-SG_002	ms-SG	A	Parti politik manakah yang telah menjadi parti pemerintah Singapura sejak tahun 1959?Parti Pekerja (WP)
ms-SG_002	ms-SG	B	Parti politik manakah yang telah menjadi parti pemerintah Singapura sejak tahun 1959?Parti Tindakan Rakyat (PAP)
ms-SG_002	ms-SG	C	Parti politik manakah yang telah menjadi parti pemerintah Singapura sejak tahun 1959?Parti Demokratik Singapura (SDP)
ms-SG_002	ms-SG	D	Parti politik manakah yang telah menjadi parti pemerintah Singapura sejak tahun 1959?Parti Kemajuan Singapura (PSP)
ms-SG_003	ms-SG	A	Apakah maskot rasmi Singapura, iaitu makhluk mitos berkepala singa dan berbadan ikan?Merlion
ms-SG_003	ms-SG	B	Apakah maskot rasmi Singapura, iaitu makhluk mitos berkepala singa dan berbadan ikan?Singa Kesopanan (Singa The Courtesy Lion)
ms-SG_003	ms-SG	C	Apakah maskot rasmi Singapura, iaitu makhluk mitos berkepala singa dan berbadan ikan?Memerang Asia
ms-SG_003	ms-SG	D	Apakah maskot rasmi Singapura, iaitu makhluk mitos berkepala singa dan berbadan ikan?Vanda Miss Joaquim
ms-SG_004	ms-SG	A	Apakah nama lapangan terbang antarabangsa utama Singapura, yang sering diundi sebagai salah sebuah lapangan terbang yang terbaik di dunia?Lapangan Terbang Seletar
ms-SG_004	ms-SG	B	Apakah nama lapangan terbang antarabangsa utama Singapura, yang sering diundi sebagai salah sebuah lapangan terbang yang terbaik di dunia?Lapangan Terbang Changi
